feat1,feat2,feat3,feat4,feat5,feat6,label
6.480000496,0,11,77.23799896,293.4819946,7.002000332,0
6.419999599,0,11,77.27400208,293.4719849,7,0
6.400000095,0,11,77.28600311,293.4660034,7,0
6.400000095,0,11,77.28400421,293.4639893,7,0
6.400000095,0,11,77.29399872,293.4559937,6.997999668,0
6.300000191,0,11,77.34999847,293.4359741,6.987999916,0
6.300000191,0,11,77.36399841,293.4299927,6.991999626,0
6.300000191,0,11,77.36600494,293.4259644,6.997999668,0
6.300000191,0,11,77.36600494,293.4259644,6.997999668,0
6.300000191,0,11,77.36600494,293.4259644,6.997999668,0
6.980000496,0,9,81.4940033,303.7919922,11.8579998,0
5.300000191,0,9,81.36199951,315.0299988,13.05199909,0
3.139999866,0,9,95.75999451,323.4140015,12.93800068,0
3,0,9,120.9939957,328.3240051,9.044000626,1
