time,value
2025-07-03T01:35:26.81687119Z,0
2025-07-03T01:35:41.840375722Z,0
2025-07-03T01:35:56.864092587Z,0
2025-07-03T01:36:11.890340393Z,0
2025-07-03T01:36:26.922168426Z,0
2025-07-03T01:36:41.954502021Z,0
2025-07-03T01:36:56.994114192Z,0
2025-07-03T01:37:11.994746732Z,0
2025-07-03T01:37:27.018272477Z,0
2025-07-03T01:37:42.0401382Z,0
2025-07-03T01:37:57.062524642Z,0
2025-07-03T01:38:12.096815738Z,0
2025-07-03T01:38:27.115960882Z,0
2025-07-03T01:38:42.142257211Z,0
2025-07-03T01:38:57.161637213Z,0
2025-07-03T01:39:12.17983851Z,0
2025-07-03T01:39:27.205410375Z,0
2025-07-03T01:39:42.216148216Z,0
2025-07-03T01:39:57.224117503Z,0
2025-07-03T01:40:12.264337857Z,0
2025-07-03T01:40:27.260007025Z,0
2025-07-03T01:40:42.26997058Z,0
2025-07-03T01:40:57.332104691Z,0
2025-07-03T01:41:12.317936642Z,0
2025-07-03T01:43:13.221088129Z,0
2025-07-03T01:43:28.249444034Z,0
2025-07-03T01:43:43.270941219Z,0
2025-07-03T01:43:58.307767027Z,0
2025-07-03T01:44:13.325221492Z,0
2025-07-03T01:44:28.351267379Z,0
2025-07-03T01:44:43.373123655Z,0
2025-07-03T01:44:58.402293156Z,0
2025-07-03T01:45:13.423003367Z,0
2025-07-03T01:45:28.449667887Z,0
2025-07-03T01:45:43.474710592Z,0
2025-07-03T01:45:58.504992759Z,0
2025-07-03T01:46:13.525233009Z,0
2025-07-03T01:46:28.551202266Z,0
2025-07-03T01:46:43.579218489Z,0
2025-07-03T01:46:58.606996984Z,0
2025-07-03T01:47:13.629471975Z,0
2025-07-03T01:47:28.654939065Z,0
2025-07-03T01:47:43.675139421Z,0
2025-07-03T01:47:58.703048884Z,0
2025-07-03T01:48:13.723195272Z,0
2025-07-03T01:48:28.753189496Z,0
2025-07-03T01:48:43.777623732Z,0
2025-07-03T01:48:58.802874765Z,0
2025-07-03T01:49:13.825023786Z,0
2025-07-03T01:49:28.85287117Z,0
2025-07-03T01:49:43.876985825Z,0
2025-07-03T01:49:58.913493349Z,0
2025-07-03T01:50:13.92913453Z,0
2025-07-03T01:50:28.957149314Z,0
2025-07-03T01:50:43.98093026Z,0
2025-07-03T01:50:59.012487505Z,0
2025-07-03T01:51:14.036550886Z,0
2025-07-03T01:51:29.064663622Z,0
2025-07-03T01:51:44.088366723Z,0
2025-07-03T01:51:59.112368645Z,0
2025-07-03T01:52:14.136430712Z,0
2025-07-03T01:52:29.16694361Z,0
2025-07-03T01:52:44.189779359Z,0
2025-07-03T01:52:59.21424009Z,0
2025-07-03T01:53:14.236904913Z,0
2025-07-03T01:53:29.270130223Z,0
2025-07-03T01:53:44.29477964Z,0
2025-07-03T01:53:59.319437492Z,0
2025-07-03T01:54:14.340362217Z,0
2025-07-03T01:54:29.363218612Z,0
2025-07-03T01:54:44.392674746Z,0
2025-07-03T01:54:59.423512645Z,0
2025-07-03T01:55:14.44050899Z,0
2025-07-03T01:55:29.468439342Z,0
2025-07-03T01:55:44.49855108Z,0
2025-07-03T01:55:59.518494878Z,0
2025-07-03T01:56:14.549569293Z,0
2025-07-03T01:56:29.573695725Z,0
2025-07-03T01:56:44.596849137Z,0
2025-07-03T01:56:59.622746626Z,0
2025-07-03T01:57:14.650994984Z,0
2025-07-03T01:57:29.67829415Z,0
2025-07-03T01:57:44.701114197Z,0
2025-07-03T01:57:59.729688629Z,0
2025-07-03T01:58:14.74847898Z,0
2025-07-03T01:58:29.776307823Z,0
2025-07-03T01:58:44.802163986Z,0
2025-07-03T01:58:59.830158662Z,0
2025-07-03T01:59:14.849961098Z,0
2025-07-03T01:59:29.878585519Z,0
2025-07-03T01:59:44.898470643Z,0
2025-07-03T01:59:59.92612572Z,0
2025-07-03T02:00:14.945997649Z,0
2025-07-03T02:00:29.978069374Z,0
2025-07-03T02:00:45.013356379Z,0
2025-07-03T02:01:00.022385216Z,0
2025-07-03T02:01:15.050274723Z,0
2025-07-03T02:01:30.082242779Z,0
2025-07-03T02:01:45.100025178Z,0
2025-07-03T02:02:00.126716962Z,0
2025-07-03T02:02:15.153992033Z,0
2025-07-03T02:02:30.178211893Z,0
2025-07-03T02:02:45.201109922Z,0
2025-07-03T02:03:00.228524814Z,0
2025-07-03T02:03:15.252046418Z,0
2025-07-03T02:03:30.280580746Z,0
2025-07-03T02:03:45.304726567Z,0
2025-07-03T02:04:00.328376497Z,0
2025-07-03T02:04:15.354546361Z,0
2025-07-03T02:04:30.384412117Z,0
2025-07-03T02:04:45.402553144Z,0
2025-07-03T02:05:00.434031684Z,0
2025-07-03T02:05:15.456350103Z,0
2025-07-03T02:05:30.482070945Z,0
2025-07-03T02:05:45.51033661Z,0
2025-07-03T02:06:00.531816687Z,0
2025-07-03T02:06:15.561969655Z,0
2025-07-03T02:06:30.586084142Z,0
2025-07-03T02:06:45.615847211Z,0
2025-07-03T02:07:00.642090678Z,0
2025-07-03T02:07:15.661994857Z,0
2025-07-03T02:07:30.69405221Z,0
2025-07-03T02:07:45.717706629Z,0
2025-07-03T02:08:00.74010704Z,0
2025-07-03T02:08:15.768613564Z,0
2025-07-03T02:08:30.793763927Z,0
2025-07-03T02:08:45.821883088Z,0
2025-07-03T02:09:00.84777312Z,0
2025-07-03T02:09:15.877919115Z,0
2025-07-03T02:09:30.896394104Z,0
2025-07-03T02:09:45.928163109Z,0
2025-07-03T02:10:00.951876563Z,0
2025-07-03T02:10:15.975936814Z,0
2025-07-03T02:10:31.004049152Z,0
2025-07-03T02:10:46.029794518Z,0
2025-07-03T02:11:01.059880817Z,0
2025-07-03T02:11:16.09495116Z,0
2025-07-03T02:11:31.110623234Z,0
2025-07-03T02:11:46.135028343Z,0
2025-07-03T02:12:01.16188716Z,0
2025-07-03T02:12:16.187985542Z,0
2025-07-03T02:12:31.214084678Z,0
2025-07-03T02:12:46.244058825Z,0
2025-07-03T02:13:01.261920101Z,0
2025-07-03T02:13:16.286053854Z,0
2025-07-03T02:13:31.310014414Z,0
2025-07-03T02:13:46.339476094Z,0
2025-07-03T02:14:01.384087102Z,0
2025-07-03T02:14:16.385981151Z,0
2025-07-03T02:14:31.414130991Z,0
2025-07-03T02:14:46.441907095Z,0
2025-07-03T02:15:01.466499539Z,0
2025-07-03T02:15:16.487840628Z,0
2025-07-03T02:15:31.519710512Z,0
2025-07-03T02:15:46.542974204Z,0
2025-07-03T02:16:01.57367059Z,0
2025-07-03T02:16:16.595896106Z,0
2025-07-03T02:16:31.630065268Z,0
2025-07-03T02:16:46.650017801Z,0
2025-07-03T02:17:01.678108442Z,0
2025-07-03T02:17:16.700002087Z,0
