time,value
2025-07-03T01:35:31.821487658Z,false
2025-07-03T01:35:46.846327618Z,false
2025-07-03T01:36:01.872482447Z,false
2025-07-03T01:36:16.900110693Z,false
2025-07-03T01:36:31.924165145Z,false
2025-07-03T01:36:46.952463513Z,false
2025-07-03T01:37:01.976294528Z,false
2025-07-03T01:37:16.998242874Z,false
2025-07-03T01:37:32.024439417Z,false
2025-07-03T01:37:47.05186267Z,false
2025-07-03T01:38:02.07646998Z,false
2025-07-03T01:38:17.120855931Z,false
2025-07-03T01:38:32.132347742Z,false
2025-07-03T01:38:47.150002885Z,false
2025-07-03T01:39:02.181278676Z,false
2025-07-03T01:39:17.182239952Z,false
2025-07-03T01:39:32.196192958Z,false
2025-07-03T01:39:47.225747172Z,false
2025-07-03T01:40:02.233960961Z,false
2025-07-03T01:40:17.252097428Z,false
2025-07-03T01:40:32.259810912Z,false
2025-07-03T01:40:47.279974827Z,true
2025-07-03T01:41:02.302402707Z,true
2025-07-03T01:41:17.327898406Z,true
2025-07-03T01:43:18.23110434Z,false
2025-07-03T01:43:33.263106243Z,false
2025-07-03T01:43:48.285028249Z,false
2025-07-03T01:44:03.313059787Z,false
2025-07-03T01:44:18.335185296Z,false
2025-07-03T01:44:33.363314376Z,false
2025-07-03T01:44:48.381844485Z,false
2025-07-03T01:45:03.41357039Z,false
2025-07-03T01:45:18.430688196Z,false
2025-07-03T01:45:33.459118374Z,false
2025-07-03T01:45:48.487191597Z,false
2025-07-03T01:46:03.516923922Z,false
2025-07-03T01:46:18.540961562Z,false
2025-07-03T01:46:33.561303155Z,false
2025-07-03T01:46:48.589432496Z,false
2025-07-03T01:47:03.620774169Z,false
2025-07-03T01:47:18.639086864Z,false
2025-07-03T01:47:33.665199119Z,false
2025-07-03T01:47:48.685044518Z,false
2025-07-03T01:48:03.710730913Z,false
2025-07-03T01:48:18.733979387Z,false
2025-07-03T01:48:33.760736756Z,false
2025-07-03T01:48:48.78485185Z,false
2025-07-03T01:49:03.808936682Z,false
2025-07-03T01:49:18.835044209Z,false
2025-07-03T01:49:33.867040835Z,false
2025-07-03T01:49:48.885401834Z,false
2025-07-03T01:50:03.912933393Z,false
2025-07-03T01:50:18.94133311Z,false
2025-07-03T01:50:33.964949061Z,false
2025-07-03T01:50:48.993105345Z,false
2025-07-03T01:51:04.022831719Z,false
2025-07-03T01:51:19.042576866Z,false
2025-07-03T01:51:34.068634872Z,false
2025-07-03T01:51:49.096359903Z,false
2025-07-03T01:52:04.116762254Z,false
2025-07-03T01:52:19.148868795Z,false
2025-07-03T01:52:34.175769779Z,false
2025-07-03T01:52:49.200181288Z,false
2025-07-03T01:53:04.222819836Z,false
2025-07-03T01:53:19.252583779Z,false
2025-07-03T01:53:34.27645404Z,false
2025-07-03T01:53:49.301080048Z,false
2025-07-03T01:54:04.324607162Z,false
2025-07-03T01:54:19.356402361Z,false
2025-07-03T01:54:34.376781562Z,false
2025-07-03T01:54:49.409631646Z,false
2025-07-03T01:55:04.422260464Z,false
2025-07-03T01:55:19.450237643Z,false
2025-07-03T01:55:34.478648895Z,false
2025-07-03T01:55:49.500195254Z,false
2025-07-03T01:56:04.52959173Z,false
2025-07-03T01:56:19.554913843Z,false
2025-07-03T01:56:34.582848292Z,false
2025-07-03T01:56:49.607337602Z,false
2025-07-03T01:57:04.632485197Z,false
2025-07-03T01:57:19.656513288Z,false
2025-07-03T01:57:34.682428188Z,false
2025-07-03T01:57:49.708277393Z,false
2025-07-03T01:58:04.736187688Z,false
2025-07-03T01:58:19.756266373Z,false
2025-07-03T01:58:34.798408764Z,false
2025-07-03T01:58:49.810235863Z,false
2025-07-03T01:59:04.838334891Z,false
2025-07-03T01:59:19.860422737Z,false
2025-07-03T01:59:34.889032608Z,false
2025-07-03T01:59:49.915397662Z,false
2025-07-03T02:00:04.932347528Z,false
2025-07-03T02:00:19.962052637Z,false
2025-07-03T02:00:34.986033058Z,false
2025-07-03T02:00:50.008028926Z,false
2025-07-03T02:01:05.036994388Z,false
2025-07-03T02:01:20.05820785Z,false
2025-07-03T02:01:35.086096631Z,false
2025-07-03T02:01:50.112177342Z,false
2025-07-03T02:02:05.132178646Z,false
2025-07-03T02:02:20.158297665Z,false
2025-07-03T02:02:35.182120373Z,false
2025-07-03T02:02:50.210238723Z,false
2025-07-03T02:03:05.234453435Z,false
2025-07-03T02:03:20.262356197Z,false
2025-07-03T02:03:35.286127435Z,false
2025-07-03T02:03:50.312737565Z,false
2025-07-03T02:04:05.338437443Z,false
2025-07-03T02:04:20.362353712Z,false
2025-07-03T02:04:35.388120874Z,false
2025-07-03T02:04:50.414123227Z,false
2025-07-03T02:05:05.442450845Z,false
2025-07-03T02:05:20.464080021Z,false
2025-07-03T02:05:35.49011586Z,false
2025-07-03T02:05:50.518894942Z,false
2025-07-03T02:06:05.543757108Z,false
2025-07-03T02:06:20.566436025Z,false
2025-07-03T02:06:35.58990403Z,false
2025-07-03T02:06:50.619941325Z,false
2025-07-03T02:07:05.648190998Z,false
2025-07-03T02:07:20.671967869Z,false
2025-07-03T02:07:35.693923771Z,false
2025-07-03T02:07:50.720138261Z,false
2025-07-03T02:08:05.745860483Z,false
2025-07-03T02:08:20.778240398Z,false
2025-07-03T02:08:35.801930688Z,false
2025-07-03T02:08:50.831785408Z,false
2025-07-03T02:09:05.857923568Z,false
2025-07-03T02:09:20.885980489Z,false
2025-07-03T02:09:35.906187459Z,false
2025-07-03T02:09:50.933918215Z,false
2025-07-03T02:10:05.963749906Z,false
2025-07-03T02:10:20.989719699Z,false
2025-07-03T02:10:36.010031452Z,false
2025-07-03T02:10:51.037731079Z,false
2025-07-03T02:11:06.073829946Z,false
2025-07-03T02:11:21.090105341Z,false
2025-07-03T02:11:36.117724922Z,false
2025-07-03T02:11:51.141893165Z,false
2025-07-03T02:12:06.170243815Z,false
2025-07-03T02:12:21.19915809Z,false
2025-07-03T02:12:36.221899992Z,false
2025-07-03T02:12:51.245933375Z,false
2025-07-03T02:13:06.27369811Z,false
2025-07-03T02:13:21.29394506Z,false
2025-07-03T02:13:36.319985782Z,false
2025-07-03T02:13:51.352347894Z,false
2025-07-03T02:14:06.37614501Z,false
2025-07-03T02:14:21.393781447Z,false
2025-07-03T02:14:36.42393025Z,false
2025-07-03T02:14:51.445936651Z,false
2025-07-03T02:15:06.470047978Z,false
2025-07-03T02:15:21.497940574Z,false
2025-07-03T02:15:36.525830919Z,false
2025-07-03T02:15:51.552131481Z,false
2025-07-03T02:16:06.574368189Z,false
2025-07-03T02:16:21.606030596Z,false
2025-07-03T02:16:36.633855414Z,false
2025-07-03T02:16:51.659945089Z,false
2025-07-03T02:17:06.683967618Z,false
2025-07-03T02:17:21.710350577Z,false
2025-07-03T02:17:36.744199676Z,true
2025-07-03T02:17:51.768287071Z,true
2025-07-03T02:18:06.792192622Z,true
2025-07-03T02:18:21.835833753Z,true
2025-07-03T02:18:36.86040126Z,true
2025-07-03T02:18:51.883901487Z,true
2025-07-03T02:19:06.915857843Z,true
2025-07-03T02:19:21.946091651Z,true
2025-07-03T02:19:36.975611306Z,true
2025-07-03T02:19:52.004192206Z,true
2025-07-03T02:20:07.068036798Z,true
2025-07-03T02:30:08.618578084Z,false
2025-07-03T02:30:23.652633518Z,false
2025-07-03T02:30:38.673917369Z,false
2025-07-03T02:30:53.70275056Z,false
2025-07-03T02:31:08.726805324Z,false
2025-07-03T02:31:23.756745925Z,false
2025-07-03T02:31:38.772823559Z,false
2025-07-03T02:31:53.798636245Z,false
2025-07-03T02:32:08.82076913Z,false
2025-07-03T02:32:23.858421789Z,false
2025-07-03T02:32:38.874584801Z,false
2025-07-03T02:32:53.904757737Z,false
2025-07-03T02:33:08.944463001Z,false
2025-07-03T02:33:23.96970061Z,false
2025-07-03T02:33:38.980553075Z,false
2025-07-03T02:33:54.001027053Z,false
2025-07-03T02:34:09.028773275Z,false
2025-07-03T02:34:24.044631995Z,false
2025-07-03T02:34:39.074951262Z,false
2025-07-03T02:34:54.095265752Z,false
2025-07-03T02:35:09.127864221Z,false
2025-07-03T02:35:24.150651481Z,false
2025-07-03T02:35:39.180523019Z,false
2025-07-03T02:35:54.195052836Z,false
2025-07-03T02:36:09.230582729Z,false
2025-07-03T02:36:24.25719587Z,false
2025-07-03T02:36:39.274840498Z,false
2025-07-03T02:36:54.304646575Z,false
2025-07-03T02:37:09.3246073Z,false
2025-07-03T02:37:24.395886332Z,false
2025-07-03T02:37:39.412644462Z,false
2025-07-03T02:37:54.418138248Z,false
2025-07-03T02:38:09.433036508Z,false
2025-07-03T02:38:24.460672931Z,false
2025-07-03T02:38:39.489413188Z,false
2025-07-03T02:38:54.504860495Z,false
2025-07-03T02:39:09.540865753Z,false
2025-07-03T02:39:24.556833674Z,false
2025-07-03T02:39:39.576673398Z,false
2025-07-03T02:39:54.603801639Z,false
2025-07-03T02:40:09.633798275Z,false
2025-07-03T02:40:24.654705918Z,false
2025-07-03T02:40:39.686373291Z,false
2025-07-03T02:40:54.702563603Z,false
2025-07-03T02:41:09.726493624Z,false
2025-07-03T02:41:24.73119747Z,false
2025-07-03T02:41:39.754585738Z,false
2025-07-03T02:43:44.353275806Z,false
2025-07-03T02:43:59.373039801Z,false
2025-07-03T02:44:14.392456306Z,false
2025-07-03T02:44:29.408121418Z,false
2025-07-03T02:44:44.43622351Z,false
2025-07-03T02:44:59.464339152Z,false
2025-07-03T02:45:14.485758356Z,false
2025-07-03T02:45:29.508065313Z,false
2025-07-03T02:45:44.532192192Z,false
2025-07-03T02:45:59.556275836Z,false
2025-07-03T02:46:14.578388092Z,false
2025-07-03T02:46:29.600948337Z,false
2025-07-03T02:46:44.628869215Z,false
2025-07-03T02:46:59.654758255Z,false
2025-07-03T17:11:53.596038961Z,false
2025-07-03T17:12:08.612672804Z,false
2025-07-03T17:12:23.623778894Z,false
2025-07-03T17:12:38.632527448Z,false
2025-07-03T17:12:53.818815167Z,false
2025-07-03T17:13:08.66400655Z,false
2025-07-03T17:13:23.69032378Z,false
2025-07-03T17:13:38.71840393Z,false
2025-07-03T17:13:53.711481523Z,false
2025-07-03T17:14:08.720925307Z,false
2025-07-03T17:14:23.75221445Z,false
2025-07-03T17:14:38.776788429Z,false
2025-07-03T17:14:53.792100703Z,false
2025-07-03T17:15:08.807137928Z,false
2025-07-03T17:15:23.848827652Z,false
2025-07-03T17:15:38.864315785Z,false
2025-07-03T17:15:53.900678895Z,false
2025-07-03T17:16:08.916425874Z,false
