time,value
2025-07-03T01:35:36.82810306Z,false
2025-07-03T01:35:51.862185085Z,false
2025-07-03T01:36:06.880025199Z,false
2025-07-03T01:36:21.904056416Z,false
2025-07-03T01:36:36.928061153Z,false
2025-07-03T01:36:51.960533611Z,false
2025-07-03T01:37:06.985874462Z,false
2025-07-03T01:37:22.007931178Z,false
2025-07-03T01:37:37.152312648Z,false
2025-07-03T01:37:52.059747614Z,false
2025-07-03T01:38:07.197792211Z,false
2025-07-03T01:38:22.108480213Z,false
2025-07-03T01:38:37.215683884Z,false
2025-07-03T01:38:52.153969193Z,false
2025-07-03T01:39:07.231408976Z,false
2025-07-03T01:39:22.185749432Z,false
2025-07-03T01:39:37.232578417Z,false
2025-07-03T01:39:52.218209115Z,false
2025-07-03T01:40:07.243870648Z,false
2025-07-03T01:40:22.24792323Z,false
2025-07-03T01:40:37.266039633Z,false
2025-07-03T01:40:52.28859565Z,false
2025-07-03T01:41:07.324461286Z,false
2025-07-03T01:41:22.335708868Z,false
2025-07-03T01:43:23.239069469Z,false
2025-07-03T01:43:38.267103507Z,false
2025-07-03T01:43:53.289221031Z,false
2025-07-03T01:44:08.316995991Z,false
2025-07-03T01:44:23.341377912Z,false
2025-07-03T01:44:38.366744513Z,false
2025-07-03T01:44:53.390854695Z,false
2025-07-03T01:45:08.41565504Z,false
2025-07-03T01:45:23.445189047Z,false
2025-07-03T01:45:38.465274414Z,false
2025-07-03T01:45:53.498631888Z,false
2025-07-03T01:46:08.520950429Z,false
2025-07-03T01:46:23.547300149Z,false
2025-07-03T01:46:38.571414046Z,false
2025-07-03T01:46:53.5948932Z,false
2025-07-03T01:47:08.617350162Z,false
2025-07-03T01:47:23.64304001Z,false
2025-07-03T01:47:38.669265287Z,false
2025-07-03T01:47:53.701112928Z,false
2025-07-03T01:48:08.717003646Z,false
2025-07-03T01:48:23.744880158Z,false
2025-07-03T01:48:38.765363726Z,false
2025-07-03T01:48:53.788835419Z,false
2025-07-03T01:49:08.812727532Z,false
2025-07-03T01:49:23.843078712Z,false
2025-07-03T01:49:38.870828656Z,false
2025-07-03T01:49:53.895015408Z,false
2025-07-03T01:50:08.916782741Z,false
2025-07-03T01:50:23.944845919Z,false
2025-07-03T01:50:38.975252243Z,false
2025-07-03T01:50:53.998400806Z,false
2025-07-03T01:51:09.02938365Z,false
2025-07-03T01:51:24.052727283Z,false
2025-07-03T01:51:39.076138118Z,false
2025-07-03T01:51:54.100296916Z,false
2025-07-03T01:52:09.128934286Z,false
2025-07-03T01:52:24.158565335Z,false
2025-07-03T01:52:39.179699653Z,false
2025-07-03T01:52:54.206791964Z,false
2025-07-03T01:53:09.233069967Z,false
2025-07-03T01:53:24.25652298Z,false
2025-07-03T01:53:39.280568051Z,false
2025-07-03T01:53:54.310479413Z,false
2025-07-03T01:54:09.334472201Z,false
2025-07-03T01:54:24.360341247Z,false
2025-07-03T01:54:39.396429227Z,false
2025-07-03T01:54:54.411366732Z,false
2025-07-03T01:55:09.432576177Z,false
2025-07-03T01:55:24.458511705Z,false
2025-07-03T01:55:39.484176676Z,false
2025-07-03T01:55:54.514664315Z,false
2025-07-03T01:56:09.540505627Z,false
2025-07-03T01:56:24.564749749Z,false
2025-07-03T01:56:39.588165508Z,false
2025-07-03T01:56:54.609445075Z,false
2025-07-03T01:57:09.638626648Z,false
2025-07-03T01:57:24.664019211Z,false
2025-07-03T01:57:39.688961442Z,false
2025-07-03T01:57:54.716251359Z,false
2025-07-03T01:58:09.749242782Z,false
2025-07-03T01:58:24.770310497Z,false
2025-07-03T01:58:39.794009958Z,false
2025-07-03T01:58:54.81630524Z,false
2025-07-03T01:59:09.840641143Z,false
2025-07-03T01:59:24.870063128Z,false
2025-07-03T01:59:39.892089258Z,false
2025-07-03T01:59:54.916064645Z,false
2025-07-03T02:00:09.944311903Z,false
2025-07-03T02:00:24.974375158Z,false
2025-07-03T02:00:39.988159928Z,false
2025-07-03T02:00:55.026459015Z,false
2025-07-03T02:01:10.041906968Z,false
2025-07-03T02:01:25.076037911Z,false
2025-07-03T02:01:40.094164533Z,false
2025-07-03T02:01:55.118173035Z,false
2025-07-03T02:02:10.142002057Z,false
2025-07-03T02:02:25.177830842Z,false
2025-07-03T02:02:40.194410207Z,false
2025-07-03T02:02:55.216157314Z,false
2025-07-03T02:03:10.244449283Z,false
2025-07-03T02:03:25.270070602Z,false
2025-07-03T02:03:40.300120133Z,false
2025-07-03T02:03:55.320314729Z,false
2025-07-03T02:04:10.34936334Z,false
2025-07-03T02:04:25.373926226Z,false
2025-07-03T02:04:40.400901531Z,false
2025-07-03T02:04:55.422066368Z,false
2025-07-03T02:05:10.450426771Z,false
2025-07-03T02:05:25.472561639Z,false
2025-07-03T02:05:40.496855132Z,false
2025-07-03T02:05:55.523922429Z,false
2025-07-03T02:06:10.552385882Z,false
2025-07-03T02:06:25.580015439Z,false
2025-07-03T02:06:40.604057822Z,false
2025-07-03T02:06:55.628034348Z,false
2025-07-03T02:07:10.653974646Z,false
2025-07-03T02:07:25.678002628Z,false
2025-07-03T02:07:40.70182841Z,false
2025-07-03T02:07:55.733160446Z,false
