time,value
2025-07-03T01:35:26.81687119Z,293.48199462890625
2025-07-03T01:35:41.840375722Z,293.47198486328125
2025-07-03T01:35:56.864092587Z,293.46600341796875
2025-07-03T01:36:11.890340393Z,293.4639892578125
2025-07-03T01:36:26.922168426Z,293.45599365234375
2025-07-03T01:36:41.954502021Z,293.46002197265625
2025-07-03T01:36:56.994114192Z,293.4519958496094
2025-07-03T01:37:11.994746732Z,293.4419860839844
2025-07-03T01:37:27.018272477Z,293.44598388671875
2025-07-03T01:37:42.0401382Z,293.4419860839844
2025-07-03T01:37:57.062524642Z,293.43798828125
2025-07-03T01:38:12.096815738Z,293.44000244140625
2025-07-03T01:38:27.115960882Z,293.43597412109375
2025-07-03T01:38:42.142257211Z,293.42999267578125
2025-07-03T01:38:57.161637213Z,293.42596435546875
2025-07-03T01:39:12.17983851Z,293.42596435546875
2025-07-03T01:39:27.205410375Z,293.42596435546875
2025-07-03T01:39:42.216148216Z,293.42596435546875
2025-07-03T01:39:57.224117503Z,293.42596435546875
2025-07-03T01:40:12.264337857Z,293.42596435546875
2025-07-03T01:40:27.260007025Z,293.42596435546875
2025-07-03T01:40:42.26997058Z,292.739990234375
2025-07-03T01:40:57.332104691Z,292.46795654296875
2025-07-03T01:41:12.317936642Z,293.2560119628906
2025-07-03T01:43:13.221088129Z,293.4040222167969
2025-07-03T01:43:28.249444034Z,293.40399169921875
2025-07-03T01:43:43.270941219Z,293.40399169921875
2025-07-03T01:43:58.307767027Z,293.4020080566406
2025-07-03T01:44:13.325221492Z,293.39801025390625
2025-07-03T01:44:28.351267379Z,293.3940124511719
2025-07-03T01:44:43.373123655Z,293.3999938964844
2025-07-03T01:44:58.402293156Z,293.406005859375
2025-07-03T01:45:13.423003367Z,293.406005859375
2025-07-03T01:45:28.449667887Z,293.39801025390625
2025-07-03T01:45:43.474710592Z,293.4020080566406
2025-07-03T01:45:58.504992759Z,293.406005859375
2025-07-03T01:46:13.525233009Z,293.40399169921875
2025-07-03T01:46:28.551202266Z,293.40399169921875
2025-07-03T01:46:43.579218489Z,293.406005859375
2025-07-03T01:46:58.606996984Z,293.40802001953125
2025-07-03T01:47:13.629471975Z,293.40399169921875
2025-07-03T01:47:28.654939065Z,293.4020080566406
2025-07-03T01:47:43.675139421Z,293.40399169921875
2025-07-03T01:47:58.703048884Z,293.40399169921875
2025-07-03T01:48:13.723195272Z,293.406005859375
2025-07-03T01:48:28.753189496Z,293.4019775390625
2025-07-03T01:48:43.777623732Z,293.4020080566406
2025-07-03T01:48:58.802874765Z,293.40802001953125
2025-07-03T01:49:13.825023786Z,293.39801025390625
2025-07-03T01:49:28.85287117Z,293.4020080566406
2025-07-03T01:49:43.876985825Z,293.4000244140625
2025-07-03T01:49:58.913493349Z,293.4020080566406
2025-07-03T01:50:13.92913453Z,293.4000244140625
2025-07-03T01:50:28.957149314Z,293.3940124511719
2025-07-03T01:50:43.98093026Z,293.3940124511719
2025-07-03T01:50:59.012487505Z,293.3900146484375
2025-07-03T01:51:14.036550886Z,293.3940124511719
2025-07-03T01:51:29.064663622Z,293.3940124511719
2025-07-03T01:51:44.088366723Z,293.3960266113281
2025-07-03T01:51:59.112368645Z,293.3960266113281
2025-07-03T01:52:14.136430712Z,293.3960266113281
2025-07-03T01:52:29.16694361Z,293.3900146484375
2025-07-03T01:52:44.189779359Z,293.39202880859375
2025-07-03T01:52:59.21424009Z,293.39801025390625
2025-07-03T01:53:14.236904913Z,293.39801025390625
2025-07-03T01:53:29.270130223Z,293.39801025390625
2025-07-03T01:53:44.29477964Z,293.3960266113281
2025-07-03T01:53:59.319437492Z,293.3960266113281
2025-07-03T01:54:14.340362217Z,293.3960266113281
2025-07-03T01:54:29.363218612Z,293.3940124511719
2025-07-03T01:54:44.392674746Z,293.3940124511719
2025-07-03T01:54:59.423512645Z,293.3940124511719
2025-07-03T01:55:14.44050899Z,293.39801025390625
2025-07-03T01:55:29.468439342Z,293.39599609375
2025-07-03T01:55:44.49855108Z,293.4000244140625
2025-07-03T01:55:59.518494878Z,293.39202880859375
2025-07-03T01:56:14.549569293Z,293.38800048828125
2025-07-03T01:56:29.573695725Z,293.3940124511719
2025-07-03T01:56:44.596849137Z,293.39801025390625
2025-07-03T01:56:59.622746626Z,293.3940124511719
2025-07-03T01:57:14.650994984Z,293.3999938964844
